pzplus名称	收录?	英文名	中文名	周	分类		规则
roma	1	Roma	罗马	4	填写		在每个空格中放置一个箭头（↑ ↓ ← → 之一），使得每个区域内的箭头各不相同。从任意一个带有箭头的格子开始，沿着箭头移动，最终一定可以到达一个黑圈。
toichika	1	Toichika	山盟海誓	4	填写		在每个区域中放置一个箭头（↑ ↓ ← → 之一）。每个箭头都和另一个箭头配对，它们相互指向，它们之间不能有其他箭头。配对箭头所属的区域不能有公共边界。
ripple	1	Ripple Effect	涟漪效应	4	填写		在每个空格里填一个数，使得每个区域里包含数字1~N，其中N是这个区域的总格数。同行列中介于两个相同的数字之间的格数（包括空洞）必须大于等于这个数字的值。
japanesesums	0.8	Japanese Sums	日本和	4	填写		在一些空格里填一个属于给出的列表中的数，使得每个数字在每行和每列都最多出现一次。盘面外的数字依次表示此行或此列中每一段有数字的格子之和。问号表示未知的和。
wagiri	1	Wagiri	斜线(环和切)	4	填写		在每个格子中画一条对角线。圈中的数字表示从这个圈引出的斜线数量。写有“輪”的格子的对角线必须属于一个环的一部分，标有“切”的格子的对角线不能属于环的一部分。
makaro	1	Makaro	极大箭头	4	填写		在每个空格里填一个数，使得每个区域里包含数字1~N，其中N是这个区域的总格数。相邻的格子里不能填相同的数字。黑格里的箭头必须指向所有与此格相邻的数字中唯一最大的一个。
yajirushi	0.8	Yajirushi	yajirushi	4	填写		在一些空格中放置一个箭头（↑ ↓ ← → 之一）。每个箭头都和另一个箭头配对，它们相互指向，它们之间不能有其他箭头，且不能相邻。所有未放置箭头的空格必须在一对箭头之间。
cojun	1	Cojun	叠叠高	4	填写		在每个空格里填一个数，使得每个区域里包含数字1~N，其中N是这个区域的总格数。相邻的格子里不能填相同的数字。对于任意两个在同区域内纵向相邻的格子，上面的格子里的数字必须比下面的大。
tateyoko	1	Tatebo-Yokobo	翠竹交错	4	填写		在每个白格中画一条横线“—”或竖线“ | "。相连的线段会组成更长的线段。黑格中的数字表示有多少条线段从此格引出。白格中的数字表示通过此格的线段长度。一条线段至多通过一个白色数字格。
nanro	1	Nanro	物以类聚	4	填写		在一些格子里填入一个数，使得所有填有数的格子连通成一个整体，且没有2×2结构都有数字填入。填入的数表示这一区域内有多少填数的格子。每个区域都至少要填入一个数。不同区域中相邻的格字不能有相同数。
arrowflow	1	Arrow Flow	箭头流动	4	填写		在每个空格中放置一个箭头（↑ ↓ ← → 之一）。相同的箭头不能相邻。从任意一个带有箭头的格子开始，沿着箭头移动，最终一定可以到达一个线索格。数字表示最终到达这一格的箭头格数目，问号可以表示任意数字。
scrabble	0.5	Scrabble	拼词	4	填写		在一些空格内放置一个字符，使得所有有字符的格子连通成一个整体。每个至少两格的横段或纵段的内容（从左到右或从上到下）都在盘面外的单词列表中给出，其中每个单词必须出现恰好一次。有一些字符可能已经放入了盘面。
kropki-pairs	0	Kropki Pairs	黑白点对	4	填写		在每个空格里填一个1~N的数，使得每个数字在每行和每列都恰好出现一次（其中N是每行或每列的格数）。两格之间的白点表示两个数的差（的绝对值）为1，黑点表示两个数（按某个顺序）的比值为1:2。所有可能的黑白点不一定全部给出。
skyscrapers	1	Skyscrapers	摩天楼	4	填写		在一些空格里填一个属于给出的列表中的数，使得每个数字在每行和每列都恰好出现一次。每个数字代表一栋对应高度的摩天楼。盘面外的数字表示从这个方向看去能看到的摩天楼个数，其中较高的摩天楼会遮挡后面较矮的摩天楼。（空格不遮挡视线。）
consecutiveq	0	Consecutive Quads	连续四数组	4	填写		在每个空格里填一个1~N的数，使得每个数字在每行和每列都恰好出现一次（其中N是每行或每列的格数）。圆点表示周围四个数中至少有一对连续的数：白点表示恰有一对，而黑点表示至少有两对（不同数对之间可以共用一个数）。所有可能的黑白点不一定全部给出。
snail	0	Magic Snail	蜗牛	4	填写		在一些空格里填一个属于给出的列表（1~N）中的数，使得每个数字在每行和每列都恰好出现一次。从有圆圈的格子开始，沿着螺旋（“蜗牛”）的这一路径，所经过的数字必须按1~N循环：1, 2, ..., N, 1, 2, ...。×表示此格不能填数。
magic	0	Magic Summer	魔夏	4	填写		在一些空格里填一个属于给出的列表中的数码，使得每个数码在每行和每列都恰好出现一次。盘面外的数字表示此行或此列中所有数码组成的数字之和，其中每一段多个连续的有数码的格子从左到右或从上到下形成一个多位数。有一些数码可能已经放入了盘面。有叉标记的格子不能填数。
kropki	1	Kropki	黑白点	4	填写		在每个空格里填一个1~N的数，使得每个数字在每行和每列都恰好出现一次（其中N是每行或每列的格数）。两格之间的白点表示两个数的差（的绝对值）为1，黑点表示两个数（按某个顺序）的比值为1:2。所有可能的黑白点都已给出（相邻的数字1和2之间可以用任意一种点标记）。
hebi	1	Hebi-Ichigo	群蛇乱舞	4	填写		在一些空格里填入一个数，使得每个数字连通组（代表蛇）是一个从1到5按顺序相连的数字序列。不同的蛇不能相邻（但可以对角接触）。提示数字表示在该方向上（直到下一个黑格或盘面边界为止）看到的第一个数字。特别地，0表示该范围内没有数字。在一条蛇的视线内（沿着从2到1的方向，直到黑格或盘面边界为止）不能有其他的蛇。
ubahn	0.5	U-Bahn	地铁	4	填写		在主盘面内画一些连接相邻格中心的横平竖直的线，使得所有线连通成一个整体。每个格子不能和恰好一个其他格相连（也就是说不能有“死胡同”），但是可以有没有线的格子。盘面外的数字表示此行或此列内有对应连接方式（交叉、丁字、直行、转弯）的格子，不区分具体连接的方向。一些格子里所有的连线已经给出。黑色的格子不能画线。
meadows	0	Meadows	裁方块	5	分区		沿虚格线把盘面分成若干正方形区域，使得每个区域恰好包含一个黑圈。
fivecells	1	FiveCells	五格分区	5	分区		沿虚格线把盘面分成若干个五格骨牌。数字表示此格中是区域边界的边数。
fourcells	1	FourCells	四格分区	5	分区		沿虚格线把盘面分成若干个四格骨牌。数字表示此格中是区域边界的边数。
fillomino	1	Fillomino	码牌	5	分区		沿虚格线把盘面分成若干个区域，使得任意两个相邻的区域面积都不同。数字表示其所在区域的面积。
pentominous	1	Pentominous	五格拼板	5	分区		沿虚格线把盘面分成若干个五格骨牌，使得任意两个相邻的骨牌都不全等。字母表示其所在骨牌的形状。
tetrominous	1	Tetrominous	四格拼板	5	分区		沿虚格线把盘面分成若干个四格骨牌，使得任意两个相邻的骨牌都不全等。字母表示其所在骨牌的形状。
domino-search	0	Domino Search	多米诺搜寻	5	分区		把盘面分成若干个两格区域，使得所有由给出的列表里的数字组成的（无序）数对都在恰好一个区域内同时出现。
shikaku	1	Shikaku	数方	5	分区		沿虚格线把盘面分成若干长方形区域，使得每个区域恰好包含一个提示格。黑圈里的数字表示其所在长方形的面积。
squarejam	1	Square Jam	正方密铺	5	分区		沿虚格线把盘面分成若干个正方形区域。每个顶点不能同时是四个正方形的一角。数字表示其所在的正方形的边长。
cbblock	1	Combi Block	组合区块	5	分区		沿虚格线把盘面分成若干个区域，使得每个区域恰好包含两个用虚线描边的块。区域不能是长方形。相邻的两个区域不能全等。
heteromino	1	Heteromino	三格拼版	5	分区		沿虚格线把盘面分成若干个三格骨牌，使得任意两个相邻的骨牌都不平移全等（也就是说，它们要么形状不同，要么朝向不同）。
slashpack	1	Slash Pack	斜线分区	5	分区		在一些空格里画一条对角线，把盘面分成若干个区域。每个区域必须包含1~N的数字各一次，其中N是盘面内出现的最大的数字。
symmarea	1	Symmetry Area	对称码牌	5	分区		沿虚格线把盘面分成若干个区域，使得任意两个相邻的区域面积都不同。数字表示其所在区域的面积。所有区域必须满足180°旋转对称。
subomino	0.8	Subomino	无包含码牌	5	分区		沿虚格线把盘面分成若干个区域，使得对于任意两个相邻的区域，都不能把其中一个仅通过平移完整放入另一个区域。数字表示其所在区域的面积。
wafusuma	1	Wafusuma	和障	5	分区		沿虚格线把盘面分成若干个区域，使得任意两个相邻的区域面积都不同。格线上圆圈里的数字必须介于两个不同区域之间，并表示这两个区域的面积之和。
kramma	1	KaitoRamma	快刀乱麻	5	分区		沿虚格线把盘面分成若干个区域，其中每一条分割线必须完全横平竖直，且两端都在盘面边界上。每个区域至少包含一个圆圈，而且所有同一区域的圆圈必须同色。
tentaisho	1	Galaxies	星系	5	分区		沿虚格线把盘面分成若干个区域，使得每个区域包含恰好一个圆点。圆点不能在区域边界上。所有区域必须满足180°旋转对称，其中圆点必须在区域的对称中心。
sashigane	1	Sashigane	曲尺分割	5	分区		沿虚格线把盘面分成若干个宽度为一的L形区域。圆圈必须在所在区域内转弯的位置，而箭头则必须在区域的一端，指向转弯的位置。圆圈里的数字表示其所在区域的面积。
araf	1	Araf	炼狱	5	分区		沿虚格线把盘面分成若干个区域，使得每个区域恰好包含两个有数字的圆圈。每个区域的面积必须严格介于区域内的两个数字之间（尤其注意面积也不能等于两个数字之一）。
mirrorbk	1	Mirror Block	镜像区块	5	分区		沿虚格线把盘面分成若干个区域，使得每个区域至多包含一个数字。数字表示其所在区域的面积。粗线（代表镜子）必须分割两个区域，且这两个区域必须关于镜子呈轴对称。
bdblock	1	Border Block	边界区块	5	分区		沿虚格线把盘面分成若干个区域，使得每个区域有且仅有一种数字，相同的数字都在同一个区域。黑点表示从这个顶点恰好延伸出三条区域的边界线。所有可能的黑点都已给出。
nikoji	1	NIKOJI	异同分割	5	分区		沿虚格线把盘面分成若干个区域，使得每个区域恰好包含一个字母。包含相同字母的区域必须平移全等，包括字母在区域内的相对位置。包含不同字母的区域不能以任何方式全等。
dbchoco	1	Double Choco	双巧克力	5	分区		沿虚格线把盘面分成若干个区域，使得每个区域里恰有一组连通的灰格和一组连通的白格，而且两组格子相邻且全等。数字表示其所在区域中一个连通组的面积（也就是区域总面积的一半）。
sendai	0.8	Sendai-Miyagi	宫城县仙台市	5	分区		沿虚格线把每个区域（代表县）分成若干个小区域（代表市）。每个市需要与另一个大小方向均相同的市相邻。数字代表所在的县被划分成的市的个数，没有数字的县可以被划分为任意个数的市。
lohkous	1	Lohkous	长宽度量	5	分区		沿虚格线把盘面分成若干个区域，使得每个区域恰好包含一个有数字的格子。格子内的一个或多个数字表示此区域内每一横段或纵段格子的长度的集合。区域内的这些提示数（包括未知数）不能重复。
lapaz	1	La Paz	拉巴斯	5	分区		涂黑一些格子，使得涂黑的格子之间不相邻，并将剩下的格子划分成1×2区域。数字格不能涂黑。在横向1×2区域中的数字表示与其同行的涂黑格个数，在竖向1×2区域中的数字表示与其同列的涂黑格个数。
tatamibari	1	Tatamibari	榻榻米	5	分区		沿虚格线把盘面分成若干长方形区域，使得每个区域恰好包含一个符号。每个顶点不能同时是四个长方形的一角。符号表示了其所在的长方形的长宽关系：横线表示宽大于高，竖线表示高大于宽，加号表示两者相等。
narrow	0.8	Narrowfence	narrow	5	分区		沿虚格线把盘面分成若干个非长方形区域，使得每个区域恰好包含一个符号。两个包含相同符号的区域形状必须不同（旋转或翻转后全等的形状视为相同）。不允许存在一个2×2的结构，其四个格子都属于带有相同符号的区域。
snakepit	1	Snake Pit	蛇窝	5	分区		沿虚格线把盘面分成若干个区域，使得任意两个相邻的区域面积都不同。格内的数字表示其所在区域的面积。所有区域必须都是宽为一且长度至少有两格的蛇形，且不能和自身接触。圆圈表示此格是某条蛇的一端，而灰格表示不是蛇的一端。
compass	1	Compass	指南针	5	分区		沿虚格线把盘面分成若干个区域，使得每个区域恰好包含一个有叉的格子（代表指南针）。指南针里上/下/左/右侧的数字表示此区域内严格比指南针更加靠上/下/左/右的格子数（无视垂直方向的偏差，比如说“更加靠上”等于“处于更高的一行”）。
aho	1	Aho-ni-Narikire	逢三变傻	5	分区		沿虚格线把盘面分成若干区域，使得每个区域恰好包含一个提示格。圆圈里的数字表示其所在区域的面积。如果区域面积是3的倍数，那么该区域必须是L形（一个大长方形从一角去掉长宽都较小的长方形得到的形状）；如果区域面积不是3的倍数，那么该区域必须是长方形。
voxas	1	Voxas	二三分割	5	分区		沿虚格线把盘面分成若干个长方形区域，使得每个区域的面积是二或三。每个高为一的区域称为横向，每个宽为一的区域称为纵向。给出的边界必须介于两个不同区域之间，而这些边界上圆点的颜色表示了两个区域的面积和朝向关系：白点表示面积和朝向都相同，灰点表示两者中恰有一个相同，而黑点表示两者均不同。
heavydots	0.8	Heavy Dots	重点	5	分区		沿虚格线把盘面分成若干个区域，使得每个区域都不完全包含2×2的结构。每个区域至多只能包含一个数字，表示此区域的面积。黑点表示从这个顶点恰好延伸出三条区域的边界线，而白点表示从这个顶点恰好延伸出四条区域的边界线。所有可能的黑白点不一定全部给出，但是与黑点或白点相邻但没有标记的顶点不能延伸出三条或四条边界线。
slither	1	Slitherlink	数回	6	回路I		连接相邻圆点画一条不和自身交叉的回路。数字表示此格中回路经过的边数。
myopia	1	Myopia	近视回路	6	回路I		连接相邻圆点画一条不和自身交叉的回路。箭头指向所有横竖方向中离此格最近的回路线段。
swslither	1	Sheep Wolf Slitherlink	羊圈数回	6	回路I		连接相邻圆点画一条不和自身交叉的回路。数字表示此格中回路经过的边数。狼必须在回路外，羊必须在回路内。
wblink	1	Shirokuro Link	黑白配	6	路径I		用横平竖直的线段把黑圈和白圈两两连接配对，使得每个圈都恰好属于一对。线段之间不能交叉，包括在端点交叉。
numlin	1	Numberlink	数连	6	路径I		从每个数字画一条横平竖直的路径，穿过若干个相邻格中心后连到另一个相同的数字。路径不能和自身或互相交叉，包括在端点交叉。
midloop	1	Midloop	中点回路	6	回路I		画一条横平竖直地经过一些格子中心且不和自身交叉的回路。回路必须笔直经过所有黑点，而且每个黑点必须是其所在的直线段的中点。
geradeweg	1	Geradeweg	直线回路	6	回路I		画一条横平竖直地经过一些格子中心且不和自身交叉的回路，并且通过所有带圈的格子。所有和一个圈相交的直线段的长度都必须等于圈里的数字。
lineofsight	0.8	Line of Sight	视线	6	回路I		连接相邻圆点画一条不和自身交叉的回路。数字表示从此格开始这个方向中最近的一条回路线段的长度。作为特例，“0”表示这个方向中没有线段。
nanameguri	1	Nanameguri	nanameguri	6	回路I		画一条横平竖直地经过一些格子中心且不和自身交叉的回路。回路必须经过每个区域恰好一次。回路必须经过所有包含对角线的格子，但不能穿过对角线。
walllogic	1	Four Winds	四风	6	路径I		从一些数字格的边中点往外画一些横平竖直的箭头。箭头不能经过数字格或者穿出盘面。数字表示从此格延伸出的所有箭头占用的总格数（不包括数字格本身）。
hashi	1	Hashi	数桥	6	路径I		在一些圆圈之间画一条或两条横平竖直的线段（代表桥梁），把所有圆圈连成一个整体。线段之间不能交叉，也不能穿过其他圆圈。圆圈里的数字表示从这个圈连出的线段数。
waterwalk	1	Water Walk	水面行者	6	回路I		画一条横平竖直地经过一些格子中心的回路，并且经过所有带数字的格子。回路不能连续经过超过两个（表示水）的蓝格。数字表示此格所属于的连续白格构成的回路段经过的格数。
coffeemilk	1	Coffee Milk	咖啡牛奶	6	路径I		在一些圆圈之间画一条横平竖直的线段。线段之间不能交叉，也不能穿过其他圆圈。黑圈和白圈不能直接连接。每一组连通的圆圈必须恰好包含一个灰圈，以及相同数量的黑圈和白圈。
dotchi	1	Dotchi Loop	二择回路	6	回路I		画一条横平竖直地经过一些格子中心且不和自身交叉的回路。回路必须通过所有带白圈的格子，不通过任何带黑圈的格子。在每个区域内，回路要么在所有白圈格直行，要么在所有白圈格转弯。
masyu	1	Masyu	珍珠	6	回路I		画一条横平竖直地经过一些格子中心且不和自身交叉的回路，并且通过所有带圈的格子。回路必须在黑圈格转弯，且在前后两格均直行。回路必须在白圈格直行，且在前后两格中至少一格转弯。
kaero	1	Kaero	归路	6	路径I	移动	把一些字母沿横平竖直的路径移动，使得在所有移动过后，每个区域有且仅有一种字母，相同的字母都在同一个区域。字母的移动路径不能交叉，包括在端点交叉，也不能经过其他没有移动的字母。
castle	1	Castle Wall	城堡墙	6	回路I		画一条横平竖直地经过一些空格中心且不和自身交叉的回路。黑格或白格内带箭头的数字表示从此格开始按照这个方向的所有直线段的总长度。有这些提示数的黑格必须在回路外，白格必须在回路内。
bonsan	1	Bonsan	木头人	6	路径I	移动	把一些圆圈横向或纵向移动，使得在所有移动过后整个盘面中心对称。圆圈的移动路径不能交叉，包括在端点交叉，也不能经过其他没有移动的圆圈。数字表示此圆圈需要移动的距离（0表示不能移动）。
sato	1	Satogaeri	回娘家	6	路径I	移动	把一些圆圈横向或纵向移动，使得在所有移动过后，每个区域恰有一个圆圈。圆圈的移动路径不能交叉，包括在端点交叉，也不能经过其他没有移动的圆圈。数字表示此圆圈需要移动的距离（0表示不能移动）。
forestwalk	1	Forest Walk	森林行者	6	路径I		画一个横平竖直地经过一些格子中心的网络。网络在绿色格子中必须恰好向三个方向有边连出（也就是形成 T 字），在白色格子必须恰好向两个方向有边连出。数字表示此格所属于的连续白格构成的网络段经过的格数。
firewalk	1	Fire Walk	烈焰行者	6	回路I		画一条经过一些格子的回路，并且经过所有带数字的格子。回路经过（表示火焰）的红格时必须转弯。回路可以两次经过同一个红格，前提是此格的中心需要位于回路内。数字表示此格所属于的连续白格构成的回路段经过的格数。
disloop	1	Disorderly Loop	乱序回路	6	回路I		画一条横平竖直地经过一些空格中心且不和自身交叉的回路。提示格中的数字表示从此格箭头指向的相邻格开始，沿箭头方向的下N段回路线段的长度（其中N为提示格中数字的个数）；这些长度与数字一一对应，但顺序不必一致。
yosenabe	1	Yosenabe	火锅	6	路径I	移动	把每个圆圈横向或纵向移动到一个灰色区域，使得每个灰色区域至少包含一个圆圈。圆圈的移动路径不能交叉，包括在端点交叉。圆圈移动时可以跨过其他灰色区域。灰色区域内的数字表示最终移动到此区域的所有圆圈内数字之和。
rectslider	1	Rectangle Slider	长方滑动	6	路径I	移动	把一些黑格横向或纵向移动，使得在所有移动过后每一组连通的黑格都是面积至少为二的长方形。黑格的移动路径不能交叉，包括在端点交叉，也不能经过其他没有移动的黑格。数字表示此黑格需要移动的距离（0表示不能移动）。
pmemory	0.8	Persistence of Memory	记忆的永恒	6	路径I		画一条横平竖直地经过一些格子中心的路径，使得路径经过的所有格子构成一条宽度为一且不和自身接触的蛇。路径的两端用黑色圆圈给出。路径需要经过所有涂灰的区域至少一次。形状、朝向相同的涂灰区域内部的经过方式完全相同。
icewalk	1	Ice Walk	冰宫行者	6	回路I		画一条横平竖直地经过一些格子中心的回路，并且经过所有带数字的格子。回路在白格上不能和自身交叉。回路不能在（表示冰）的蓝格上转弯，但可以在这些格子上和自身交叉。数字表示此格所属于的连续白格构成的回路段经过的格数。
orbital	0.8	Orbital	行星轨道	6	回路I		画一些横平竖直地经过空格中心的长方形回路。回路之间可以相交，但是不能有边重叠，也不能共用一角。白圈格必须被回路经过，黑圈格不能被回路经过。每个黑圈格恰好位于一个回路的内部，且黑圈中的数字表示那个回路经过的白圈个数。
wbloop	0.5	Kuroshiro Loop	黑白回路	6	回路I		画一条横平竖直地经过一些格子中心且不和自身交叉的回路，并且通过所有带圈的格子。在连续经过的两个同色圆圈之间，回路不能转弯。在连续经过的两个异色圆圈之间，回路必须恰好转弯一次。（回路在圆圈格上的转弯不计入上述规则要求。）
reflect	1	Reflect Link	反射回路	6	回路I		画一条横平竖直地经过一些格子中心的回路。回路必须在且只能在含有十字的格子里与自身交叉。回路需要经过所有三角形，并在每个三角形处以直角“反射”转弯。数字表示从该三角形出发的两条线段所经过的格子总数（包括三角形所在的格子）。
slalom	1	Slalom	巡行通关	6	回路I		画一条横平竖直地经过一些白格中心且不和自身交叉的有向回路，其中起点和终点都在圆圈的格子。回路必须直行通过每个用粗虚线标记的“关卡”恰好一次。黑格里带数字的箭头表示回路从圆圈出发后经过其指向的关卡的次序。盘面中的总关卡数在圈内给出。
firefly	1	Firefly/Hotaru Beam	萤火虫	6	路径I		从每个圆圈（代表萤火虫）沿虚格线画出一条路径，使得所有圆圈通过路径连通成一个整体。每条路径从一个圆圈的黑点开始，在某个圆圈（可以是同一个圆圈）的黑点以外的位置结束。路径不能交叉也不能穿过圆圈。圆圈里的数字表示从它的黑点引出的路径转弯的次数。
dotchi2	0.8	Dotchi Dotchi Loop	dotchi2	6	回路I		画一条横平竖直地经过一些格子中心且不和自身交叉的回路。在每个区域内，回路要么通过所有带白圈的格子，不通过任何带黑圈的格子，要么通过所有带黑圈的格子，不通过任何带白圈的格子。每个区域都至少有一个圆圈被回路经过。回路必须在黑圈格转弯，在白圈格直行。
kouchoku	1	Kouchoku	交直	6	回路I		经过盘面内所有节点画一条回路。回路中的线段必须直线连接两个节点（不一定横平竖直），两条线段仅在互相垂直时才允许互相交叉。含有相同字母的节点必须被连续经过，而含有不同字母的节点之间不能直接相连。回路在切换字母前必须经过至少一个不带字母的黑色节点。
balance	1	Balance Loop	平衡回路	6	回路I		画一条横平竖直地经过一些格子中心且不和自身交叉的回路，并且通过所有带圈的格子。圈的颜色表示从此格延伸出的两条线段的长度关系（把圈的中心视为两条线段的端点之一）：白圈表示两条线段长度相同，黑圈表示两条线段长度不同。圆圈里的数字表示这两条线段的长度之和。
crossstitch	1	Crossstitch	十字绣	6	回路I		在一些空格里画对角线，使其形成两条不和自身交叉的回路（盘面的两种顶点各一条回路）。两个回路之间可以交叉，但出现交叉的单元格不能横竖相邻。圈内数字表示此格的四个角中被回路经过的个数。带箭头的数字表示在该方向上（直到下一个黑格或盘面边界为止）出现交叉的单元格数。
moonsun	1	Moon or Sun	日月交替	6	回路I		画一条横平竖直地经过一些格子中心且不和自身交叉的回路。回路必须恰好经过每个区域一次，且在每个区域内至少经过一个符号。在每个区域内，回路必须要么经过所有太阳符号且不经过任何月亮符号，要么经过所有月亮符号且不经过任何太阳符号，且必须在连续经过的区域之间在两者之间切换。
bhaibahan	0.8	Bhai Bahan	同胞回路	6	回路I		画一条横平竖直地经过一些格子中心且不和自身交叉的回路，并且通过所有带圈的格子。如果两个圆圈格横竖相邻，则回路在其中一格直行，在另一格拐弯。如果回路在圆圈格直行，则圈内数字表示沿回路连续出现该数量的直行格。如果在圆圈格拐弯，则圈内数字表示沿回路连续出现该数量的拐弯格。
icebarn	1	Icebarn	冰宫游弋	6	路径I		画一条横平竖直地经过一些格子中心的路径，从盘面边界上指向内部的箭头开始，到边界上指向外部的箭头结束。路径必须按照给出的方向穿过所有箭头。路径在白格上不能和自身交叉。路径不能在（表示冰）的蓝格上转弯，但可以在这些格子上和自身交叉。每一组（粗线标注）的蓝色区域必须至少一次。
tapaloop	1	Tapa-like Loop	土派回路	6	回路I		画一条横平竖直地经过一些空格中心且不和自身交叉的回路。格内一个或多个数字表示回路每次经过与此格接触的（至多）八格形成的区域时连续经过的格数，但不限定顺序。作为特例，一个单独的“0”表示回路不经过任何与此格接触的格子，而一个单独的问号（格内没有其他问号或数字）也可以代表“0”。
angleloop	1	Angle Loop	角度回路	6	回路I		经过盘面内所有有符号的顶点画一条不和自身交叉的回路。回路可以有非横平竖直的线段，但是必须恰好在有符号的顶点上转弯（并在别的地方直行）。符号的形状表示了转弯前后两条线段之间的夹角：黑色三角形表示锐角（小于90°），灰色方形表示直角（等于90°），白色五边形表示钝角（大于90°）。
nagare	1	Nagereru-Loop	吹风机回路	6	回路I		画一条横平竖直地经过一些白格中心且不和自身交叉的有向回路。回路不能经过黑格。回路必须按箭头方向穿过所有带黑色箭头的白格，不能在格内转弯。带白色箭头的黑格代表风扇，会沿箭头方向吹风直到下一个黑格为止。在这些受风影响的白格中，回路不得逆风前进，并且一旦进入受风影响的格子，必须立即按照风向转向，前进至少一格。
herugolf	1	Herugolf	高尔夫	6	路径I	移动	把每个圆圈通过一系列（至少一次）横向或纵向移动至一个H格。每个H格必须恰好和一个圆圈相连。每个圆圈第一次移动的长度必须等于圆圈里的数字，而之后的每一次移动长度必须比前一次短一格（所以总移动次数不能超过圆圈里的数字）。每一次移动的终点不能在蓝格内（表示水坑），但移动期间可以穿过蓝格。连续两次移动之间的方向可以改变也可以不改变，但不能完全相反（也就是说不能“掉头”）。圆圈的移动路径不能交叉，包括在端点交叉。
simpleloop	1	Simple Loop	简单回路	7	回路II		画一条横平竖直地经过所有空格中心且不和自身交叉的回路。
doubleback	1	Double Back	二次返回	7	回路II		画一条横平竖直地经过所有格子中心且不和自身交叉的回路。回路必须经过每个区域恰好两次。
detour	1	Detour	绕道	7	回路II		画一条横平竖直地经过所有格子中心且不和自身交叉的回路。数字表示回路在此区域内转弯的次数。
alternate	0	Alternate Loop	交替回路	7	回路II		画一条横平竖直地经过所有格子中心且不和自身交叉的回路。回路连续经过的任意两个圆圈颜色不能相同。
haisu	1	Haisu	入数	7	路径II		从S到G画一条经过所有格子中心的路径。格子内的数N表示此格在第N次经过格子所属的区域时被经过。
rassi	1	Rassi Silai	绳索缝纫	7	路径II		在每个区域内画一条经过该区域所有格子的路径。位于路径端点的格子不能互相接触（对角接触也不行）。
ringring	1	Ring-ring	环环相扣	7	回路II		用横平竖直地经过空格中心的长方形回路覆盖每个空格。回路之间可以相交，但是不能有边重叠，也不能共用一角。
yajilin-regions	1	Regional Yajilin	仙人指区	7	回路II		画一条横平竖直地经过一些空格中心且不和自身交叉的回路，并把未经过的空格涂黑。涂黑的格子不能相邻。数字表示此区域内的黑格数。
koburin	1	Koburin	仙人指邻	7	回路II		画一条横平竖直地经过一些空格中心且不和自身交叉的回路，并把未经过的空格涂黑。涂黑的格子不能相邻。数字表示和此格相邻的黑格数。
pipelink	1	Pipelink	管道回路	7	回路II		画一条横平竖直地经过所有格子中心的回路。回路中的两条线段可以十字交叉，但不能在交叉处转弯。格子中的线索表示此格如何被回路经过。
maxi	1	Maxi Loop	极大回路	7	回路II		画一条横平竖直地经过所有格子中心且不和自身交叉的回路。数字表示回路单次经过此区域中经过格数最多的一段的格数。这个最大值必须在某次经过时达到。
yajilin	1	Yajilin	仙人指路	7	回路II		画一条横平竖直地经过一些空格中心且不和自身交叉的回路，并把未经过的空格涂黑。涂黑的格子不能相邻。带箭头的数字表示从此格开始在这个方向中的黑格数。
nuriloop	0.8	Nurikabe Loop	数墙回路	7	回路II		画一条横平竖直地经过一些空格中心且不和自身交叉的回路。每一组连通的未被回路经过的格必须恰好包含一个数字。数字表示其所在的未被回路经过的连通组格数。
trainstations	1	Train Stations/Railroad	铁轨	7	回路II		画一条横平竖直地经过所有格子中心的回路。回路必须在且只能在含有十字的格子里与自身交叉。回路必须从1出发，按顺序经过所有数字格，且数字格处不允许拐弯。
hidato	0	Hidato	一笔画	7	路径II		在每个空格里填数，使得1~N的每个数分别在盘面里出现恰好一次，其中N是盘面的总格数。每一对连续的数字必须在接触的格子里。有一些数字可能已经放入了盘面。
barns	1	Barns	冰宫回路	7	回路II		画一条横平竖直地经过所有格子中心的回路。回路不能穿过任何粗格线。回路在白格上不能和自身交叉。回路不能在（表示冰）的蓝格上转弯，但可以在这些格子上和自身交叉。
vertigo	0	Vertigo	晕头转向	7	回路II		画一条横平竖直地经过所有格子中心的回路。回路可以在任何格内与自身交叉。在按照一个方向走遍整个回路时，所有转弯的方向必须相同（全部都是左转或者全部都是右转）。
nothing	1	All or Nothing	满或空	7	回路II		画一条横平竖直地经过一些格子中心且不和自身交叉的回路。回路必须经过每个区域至多一次，且如果经过一个区域就必须经过其所有的格子。任意两个没有经过的区域不能相邻。
mukkonn	1	Mukkonn Enn	四向回路	7	回路II		画一条横平竖直地经过所有格子中心的回路。当回路从带数字的三角形离开一个单元格时，它必须沿直线前进该数字所指示的单元格数，然后转弯。未被回路经过的数字没有意义。
doubleornothing	0	Double or Nothing	双或无	7	回路II		画两条横平竖直地经过一些格子中心且分别不和自身交叉的回路。每个空格必须恰有一条回路经过。每个有加号的格子要么两条回路都经过（且在那里交叉），要么两条回路都不经过。
country	1	Country Road	周游列国	7	回路II		画一条横平竖直地经过一些格子中心且不和自身交叉的回路。回路必须恰好经过每个区域一次。任意两个隔着区域边界相邻的格子不能都未被回路经过。数字表示此区域内回路经过的格数。
